Species,WtSpMean,WtSpN,WtSpSE,WingSpMean,WingSpN,WingSpSE,ECulmSpMean,ECulmSpN,ECulmSpSE,TarSpMean,TarSpN,TarSpSE, HClawSpMean, HClawSpN,HClawSpSE
Metallura_phoebe,1.722607134,2,0.017859041,4.220564424,5,0.030866281,2.765207956,5,0.042214671,1.833387911,3,0.042861653,1.424634013,5,0.021006077
Metallura_theresiae,1.575205446,3,0.018163221,4.134366902,3,0.016331545,2.495677876,3,0.01668196,1.952537701,3,0.053516041,1.484006335,3,0.071734669
Metallura_tyrianthina,1.236297147,38,0.015739821,3.999113469,48,0.009789249,2.413182091,50,0.012285735,1.813014593,38,0.013242551,1.339204523,50,0.01345464
Metallura_williami,1.51361547,2,0.055000448,3.999023313,3,0.020065067,2.610610012,3,0.082434855,1.646991649,2,0.057756444,1.351867911,3,0.022961751
Microchera_albocoronata,,,,3.674608981,2,0.029159085,2.446226089,2,0.030312311,1.280933845,1,0.062416183,0.993251773,2,0
Myrmia_micrura,,,,3.535710276,2,0.042237618,2.710134739,2,0.049875201,,,,0.804718956,2,0.111571776
Myrtis_fanny,0.832909123,2,0,3.690268926,5,0.023456824,2.863805365,5,0.03014967,1.477615566,5,0.096169936,0.754801157,4,0.125354383
Ocreatus_underwoodii,1.1150072,2,0.016394911,3.751224705,13,0.029612276,2.563270314,13,0.01343605,1.446295757,2,0.035308784,0.983292109,13,0.051058417
Opisthoprora_euryptera,,,,4.102501581,4,0.025379697,2.483334966,4,0.03232524,1.928888995,2,0.072591005,1.638572366,2,0.029134454
Oreonympha_nobilis,1.945910149,2,0,4.413982171,5,0.027400979,3.209655613,5,0.024443606,2.060648737,5,0.05579537,1.553252086,5,0.037838835
Oreotrochilus_adela,2.054123734,1,0.068264421,4.151039906,1,0.031914097,2.990719732,1,0.03370817,2.219203484,1,0.062416183,1.568615918,1,0.070118761
Oreotrochilus_estella,2.101295861,6,0.110666344,4.231493784,10,0.024430875,2.890921262,10,0.027405729,1.844012629,7,0.050477339,1.619076523,10,0.022510024
Oxypogon_guerinii,1.648283851,3,0.019422969,4.198283108,7,0.018877478,2.134310328,7,0.04318911,2.060733534,3,0.043894679,1.721252454,7,0.036921477
Pampa_curvipennis,1.931101155,2,0.028993629,4.19417966,2,0.004524918,3.181996577,2,0.020749865,1.749162046,2,0.008695871,0.94880993,2,0.115900807
Panterpe_insignis,1.784167573,8,0.031651247,4.164310439,13,0.011668731,2.928985955,13,0.011328201,1.810648294,8,0.040536499,1.306469154,13,0.041256389
Patagona_gigas,3.038362196,2,0.052680258,4.839501854,12,0.01439914,3.556721264,12,0.013513977,2.055398288,3,0.085385584,1.604814625,4,0.055282985
Phaeochroa_cuvierii,2.177929613,3,0.065731299,4.260048344,3,0.016785211,2.993578036,3,0.022126598,1.880067831,3,0.044354843,1.21203713,3,0.043563271
Phaethornis_anthophilus,1.481604541,1,0.068264421,4.00178313,4,0.025758551,3.480604669,4,0.020457788,1.504077397,1,0.062416183,0.752482748,4,0.029171222
Phaethornis_bourcieri,1.398030539,2,0.037053986,3.989383764,5,0.018804083,3.375912753,5,0.012458852,1.444329324,5,0.127886181,0.786383949,5,0.032228548
Phaethornis_griseogularis,0.78845736,1,0.068264421,3.547848294,4,0.026579514,3.072278607,4,0.042703762,1.252762968,1,0.062416183,0.543278504,4,0.035831052
Phaethornis_guy,1.586529734,12,0.028134677,4.071187941,16,0.013834904,3.661706675,16,0.021528656,1.664391298,12,0.024190601,0.850087309,16,0.041129707
Phaethornis_hispidus,1.451808492,2,0.116807426,4.058184101,5,0.033867963,3.486597614,5,0.032096463,1.566658968,2,0.062581571,0.672787142,5,0.072501966
Phaethornis_koepckeae,1.615402198,2,0.089345894,4.171948194,2,0.057801005,3.55489071,2,0.061418052,1.606227629,2,0.080171325,0.890854567,2,0.102397206
Phaethornis_longuemareus,0.784307959,2,0.091160778,3.639514119,6,0.021158676,3.069128825,6,0.02243178,1.345395216,3,0.083011071,0.593847939,6,0.035315172
Phaethornis_nattereri,,,,3.765668998,2,0.018520636,3.12456273,2,0.002197806,1.331874971,2,0.079112003,0.852374046,2,0.063916686
Phaethornis_philippii,1.47745514,2,0.091160778,4.043542458,4,0.037988758,3.447158805,4,0.036674388,1.5298228,2,0.118835826,0.783873554,4,0.055076724
Phaethornis_pretrei,,,,4.0770487,5,0.008676669,3.404312899,5,0.010280088,1.551395673,2,0.116311148,0.807554842,5,0.092074906
Phaethornis_ruber,0.808703041,2,0.066765696,3.509713951,3,0.076805341,3.078745388,3,0.010105105,1.393690855,3,0.030158147,0.334767203,3,0.041318451
Phaethornis_stuarti,0.916290732,1,0.068264421,3.673765816,1,0.031914097,3.091042453,1,0.03370817,1.568615918,1,0.062416183,0.530628251,1,0.070118761
Phaethornis_subochraceus,1.333614103,2,0.052680258,3.926911133,2,0.000985222,3.322174736,2,0.075683744,1.525819953,2,0.021742556,0.990500734,2,0.074210003
Phaethornis_superciliosus,1.813532625,3,0.074960298,4.129691844,6,0.036707884,3.746616493,6,0.036821707,1.809664897,3,0.096048498,0.715488849,6,0.066722251
Phaethornis_syrmatophorus,1.690643067,4,0.057245268,4.07262233,6,0.016411191,3.668499423,6,0.027610632,1.499705434,6,0.041470696,0.895058548,6,0.056802167
Phaethornis_yaruqui,1.748516434,3,0.060384455,4.072760077,6,0.018001853,3.721194349,6,0.026177884,1.576577946,4,0.040047984,0.88671821,6,0.082749618
Phlogophilus_harteri,0.974381609,2,0.018870164,3.834616889,2,0.03240875,2.756835326,2,0.003174614,1.503830422,2,0.022225881,0.848724395,2,0.10678705
Phlogophilus_hemileucurus,0.93126427,2,0.098355147,3.906488468,5,0.019134793,2.853485286,5,0.018548514,1.71774845,3,0.103613886,1.082677478,5,0.035775668
Polyonymus_caroli,1.514583525,2,0.032978984,4.07928675,2,0.039750425,3.00807858,2,0.012346306,1.845937482,2,0.070985131,1.334654686,2,0.026321867
Polyplancta_aurescens,1.747343862,2,0.060944909,4.080032815,4,0.029856117,2.992215148,4,0.026160648,1.698631713,3,0.00611638,1.163089767,4,0.071373935
Polytmus_guainumbi,1.704582776,2,0.018183822,4.091871633,4,0.04073502,3.142838045,4,0.012566293,1.815625171,2,0.04067282,1.109696242,4,0.059350489
Polytmus_theresiae,1.609437912,1,0.068264421,4.010782322,3,0.028059095,2.978423916,3,0.022467892,1.669660989,2,0.12209848,1.068650893,3,0.137257139
Pterophanes_cyanopterus,2.332909307,4,0.051346456,4.610942987,9,0.037266121,3.368812957,9,0.009971055,1.919343777,5,0.040746151,1.375579901,9,0.024083617
Ramphodon_naevius,2.079441542,1,0.068264421,4.281773013,5,0.008875753,3.540666152,5,0.012150728,1.609437912,1,0.062416183,0.530628251,1,0.070118761
Ramphomicron_microrhynchum,1.229975024,15,0.02256695,3.889902714,21,0.014519986,1.986152849,21,0.013520141,1.868494419,15,0.019689691,1.325853902,18,0.026614701
Rhodopis_vesper,1.242453325,2,0.143841036,3.965621181,4,0.034766774,3.126644929,4,0.124750023,1.589026915,2,0.020410997,0.874490263,4,0.123348091
Sappho_sparganura,1.800952515,3,0.043178955,4.136912368,3,0.044713099,3.090799941,3,0.069789431,2.013640385,3,0.035661567,1.349293896,3,0.055229846
Schistes_geoffroyi,1.332060104,3,0.053952218,3.937131958,7,0.013741336,2.622037803,7,0.02922263,1.682529844,7,0.055430357,1.013934911,7,0.058205939
Selasphorus_calliope,1.039720771,2,0.123430039,3.688103034,6,0.017637218,2.673918526,6,0.039190561,1.489606173,4,0.046728689,0.725351549,5,0.060003595
Selasphorus_flammula,1.059331127,4,0.059940322,3.708409387,6,0.020871966,2.449895896,6,0.0396712,1.505726268,4,0.080590401,1.003963968,6,0.055252835
Selasphorus_platycercus,1.146267379,2,0.04765509,3.899873043,7,0.011075929,2.837999041,7,0.025302952,1.599336559,2,0.010101354,0.852822531,5,0.08398784
Selasphorus_rufus,1.206167978,2,0.074765867,3.78881086,7,0.032359218,2.829332815,7,0.031711259,1.399207637,3,0.109642082,0.727461884,4,0.040655962
Selasphorus_sasin,1.113930773,2,0.049220036,3.6727851,4,0.039162496,2.749826243,4,0.020622198,1.47745514,2,0.091160778,0.807527125,4,0.100347463
Selasphorus_scintilla,0.763028152,2,0.069880971,3.56585868,4,0.032255863,2.465349216,4,0.043051132,1.497866137,2,0.111571776,0.902459062,4,0.050071563
Sephanoides_fernandensis,2.244189404,3,0.149162926,4.301586785,8,0.029364924,2.717671321,8,0.009716554,2.240475234,3,0.062109859,1.713484664,7,0.037895147
Sephanoides_sephaniodes,1.693262718,3,0.074339679,4.096560209,5,0.019853071,2.734896283,5,0.019557512,2.004376328,4,0.070934274,1.502963809,4,0.027264563
Stephanoxis_lalandi,0.993251773,1,0.068264421,3.898957783,2,0.04456389,2.580102032,2,0.015152675,1.840549633,1,0.062416183,1.047165077,2,0.01754566
Taphrospilus_hypostictus,1.936641089,2,0.064838912,4.164477541,4,0.026203625,3.124479279,4,0.061172915,1.984968962,3,0.05344755,1.292791395,4,0.035765228
Thalurania_colombica,,,,3.946432514,40,0.008529793,2.946286998,40,0.007775645,1.657386636,5,0.03666119,1.043198553,31,0.024476227
Thalurania_furcata,1.512159865,2,0.07707534,3.922906837,7,0.023150716,2.969525426,7,0.023262302,1.654617981,4,0.04854628,1.094769749,6,0.061790091
Thaumastura_cora,0.640466923,2,0.052680258,3.656182413,4,0.025268449,2.563852525,4,0.027146119,1.508492472,3,0.10146385,0.904480091,4,0.034136936
Threnetes_leucurus,1.777089489,3,0.059372089,4.092051989,5,0.031159789,3.404602662,5,0.030897998,1.655645847,5,0.047241299,0.893043645,5,0.060336471
Threnetes_ruckeri,1.724993773,2,0.11555586,3.999508694,15,0.01670626,3.345395967,15,0.015559004,1.654514562,3,0.023175254,0.666722112,14,0.060188708
Trochilus_polytmus,1.5298228,2,0.118835826,4.069085192,2,0.081954714,2.946291499,2,0.039390439,1.619339226,2,0.009901314,0.959929736,2,0.171472376
Urochroa_bougueri,2.163323026,1,0.068264421,4.282703813,4,0.018917718,3.383383507,4,0.025934184,2.050080474,2,0.08998569,1.385856478,4,0.095748063
