Species,WtSpMean,WtSpN,WtSpSE,WingSpMean,WingSpN,WingSpSE,ECulmSpMean,ECulmSpN,ECulmSpSE,TarSpMean,TarSpN,TarSpSE, HClawSpMean, HClawSpN,HClawSpSE
Archilochus_alexandri,1.280547894,2,0.027784926,3.776399147,7,0.014449144,2.936247696,7,0.026902823,1.656342787,4,0.035573552,0.803060271,5,0.041288175
Archilochus_colubris,1.116585472,12,0.034759301,3.742146898,17,0.016718893,2.800076651,17,0.019055252,1.546861764,14,0.035806499,0.827819554,17,0.025800208
Atthis_heloisa,0.832909123,2,0,3.605365238,4,0.023208768,2.533555563,4,0.009695868,1.557867533,2,0.146880559,0.807701099,4,0.046475867
Basilinna_leucotis,1.389409636,2,0.136646667,4.020090644,5,0.017454116,2.791983593,5,0.037928813,1.468521639,2,0.057534665,0.982549359,5,0.039864234
Basilinna_xantusii,1.147276461,2,0.015874349,3.922657115,2,0.024733034,2.830263483,2,0.002949861,1.446849774,2,0.011765249,0.871984403,2,0.083527042
Boissonneaua_flavescens,2.157542614,2,0.005780411,4.306323368,7,0.016564938,2.837557247,7,0.015079112,1.820179417,3,0.066890232,1.320328403,6,0.04875259
Boissonneaua_matthewsii,1.985523173,2,0.068600561,4.280868669,4,0.02960372,2.858893064,4,0.035158672,1.942223119,2,0.085925128,1.330908544,4,0.051496884
Calliphlox_amethystina,1.098612289,2,0,3.56084831,2,0.019888986,2.797281335,2,0,1.635164553,2,0.087602045,0.831963049,2,0.043505688
Calliphlox_bryantae,1.251127644,2,0.057205176,3.730801857,6,0.014153595,2.701660145,6,0.046139645,1.557541609,4,0.019996907,0.822031033,6,0.038735577
Calliphlox_mitchellii,1.16315081,1,0.068264421,3.631300106,4,0.015236475,2.635814818,4,0.031097649,1.758155094,2,0.128914555,0.798580201,4,0.027876519
Calothorax_lucifer,1.147276461,2,0.015874349,3.657219822,2,0.049008271,3.014079016,2,0.05397392,1.584001747,2,0.102397206,0.710347894,2,0.122561229
Calothorax_pulcher,0.909038389,2,0.120581028,3.584859732,2,0.009709043,2.895667686,2,0.022103046,1.266848407,2,0.014085438,0.763028152,2,0.069880971
Calypte_anna,1.596471221,2,0.161386696,3.874569873,9,0.030664972,2.75899434,9,0.066975532,1.516188046,4,0.116919512,0.892540879,9,0.051714466
Calypte_costae,1.223775432,2,0,3.79256607,5,0.018495404,2.791575791,5,0.020158533,1.344603557,2,0.181452747,0.802392491,5,0.044810841
Campylopterus_hemileucurus,2.342925382,9,0.057345929,4.341050355,21,0.010467216,3.363266222,21,0.016562948,1.816717317,9,0.024525972,1.125871241,17,0.021463531
Campylopterus_largipennis,2.148642703,2,0.133739683,4.293813295,4,0.016371553,3.29779242,4,0.023446134,1.87132858,2,0.030778946,1.182529209,4,0.050177244
Campylopterus_rufus,2.026761284,2,0.170463293,4.307296049,2,0.016836608,3.326702409,2,0.016159396,1.892322038,2,0.067772746,1.096385113,2,0.066765696
Campylopterus_villaviscensio,2.013567906,2,0.126498257,4.207648815,4,0.031835503,3.348805229,4,0.02699113,1.972745908,3,0.036434959,1.176099987,4,0.0415586
Chaetocercus_bombus,0.693147181,1,0.068264421,3.308434038,2,0.023770472,2.533570822,2,0.015874349,1.62924054,1,0.062416183,0.797669494,2,0.267041243
Chaetocercus_mulsant,1.419539232,2,0.084538165,3.692603054,2,0.006226731,2.800209981,2,0.015198739,1.343923747,2,0.091160778,0.765197353,2,0.023260008
Chalcostigma_herrani,1.720209047,2,0.071550422,4.193425625,6,0.032205007,2.519545331,6,0.049314849,2.01824317,6,0.091444347,1.50594169,6,0.10408249
Chalcostigma_heteropogon,1.539532445,6,0.019211891,4.15511093,7,0.022570266,2.546507406,7,0.015288439,1.995627022,6,0.02286804,1.490156767,7,0.037738057
Chalcostigma_olivaceum,2.208274414,1,0.068264421,4.534747722,1,0.031914097,2.694627181,1,0.03370817,2.388762789,1,0.062416183,1.887069649,1,0.070118761
Chalcostigma_ruficeps,1.216806678,2,0.118194389,4.046483361,4,0.042333915,2.384989291,4,0.050474176,1.84767921,2,0.039390439,1.358834541,4,0.037807493
Chalcostigma_stanleyi,1.647918433,2,0.143841036,4.166885114,2,0.033319839,2.335572587,2,0.053190202,2.11618293,2,0.012048776,1.556757655,2,0.052680258
Chalybura_buffonii,1.908856163,2,0.037053986,4.214919429,7,0.024745388,3.112687283,7,0.016633546,1.830383384,3,0.069395715,1.181006616,7,0.037785914
Chalybura_urochrysia,,,,4.154027632,13,0.025400071,3.120461531,13,0.014364091,1.722766598,1,0.062416183,1.044710159,13,0.040144947
Chlorestes_notatus,,,,3.871062103,2,0.01666821,2.82130802,2,0.011905324,1.695236709,2,0.027529889,0.987040513,2,0.111571776
